# Staged COSMERE (Brandon Sanderson) from COSMERE NOTES.txt -> book catalog.
# All tagged: fantasy, cosmere  (the 'cosmere' tag lets you say "open media cosmere").
# Deduped from the reading-order list. Includes novellas that live inside Arcanum Unbounded
# AND the collection itself — prune any you don't want as separate entries.
# Columns: status <TAB> title <TAB> author <TAB> tags <TAB> rec
queued	The Way of Kings	Brandon Sanderson	fantasy, cosmere
queued	Words of Radiance	Brandon Sanderson	fantasy, cosmere
queued	Oathbringer	Brandon Sanderson	fantasy, cosmere
queued	Rhythm of War	Brandon Sanderson	fantasy, cosmere
queued	Edgedancer	Brandon Sanderson	fantasy, cosmere
queued	Dawnshard	Brandon Sanderson	fantasy, cosmere
queued	The Final Empire	Brandon Sanderson	fantasy, cosmere
queued	The Well of Ascension	Brandon Sanderson	fantasy, cosmere
queued	The Hero of Ages	Brandon Sanderson	fantasy, cosmere
queued	The Alloy of Law	Brandon Sanderson	fantasy, cosmere
queued	Shadows of Self	Brandon Sanderson	fantasy, cosmere
queued	The Bands of Mourning	Brandon Sanderson	fantasy, cosmere
queued	The Lost Metal	Brandon Sanderson	fantasy, cosmere
queued	Elantris	Brandon Sanderson	fantasy, cosmere
queued	Warbreaker	Brandon Sanderson	fantasy, cosmere
queued	Tress of the Emerald Sea	Brandon Sanderson	fantasy, cosmere
queued	Yumi and the Nightmare Painter	Brandon Sanderson	fantasy, cosmere
queued	The Sunlit Man	Brandon Sanderson	fantasy, cosmere
queued	White Sand	Brandon Sanderson	fantasy, cosmere
queued	The Emperor's Soul	Brandon Sanderson	fantasy, cosmere
queued	Shadows for Silence in the Forests of Hell	Brandon Sanderson	fantasy, cosmere
queued	Sixth of the Dusk	Brandon Sanderson	fantasy, cosmere
queued	The Eleventh Metal	Brandon Sanderson	fantasy, cosmere
queued	Allomancer Jak and the Pits of Eltania	Brandon Sanderson	fantasy, cosmere
queued	Mistborn Secret History	Brandon Sanderson	fantasy, cosmere
queued	Hope of Elantris	Brandon Sanderson	fantasy, cosmere
queued	Arcanum Unbounded	Brandon Sanderson	fantasy, cosmere
queued	Isles of the Emberdark	Brandon Sanderson	fantasy, cosmere
